Name,Symbol,Currency,Sector
A.P. Møller - Mærsk B,MAERSK-B.CO,DKK,Industrials
ALK-Abelló B,ALK-B.CO,DKK,Health Care
Alm. Brand,ALMB.CO,DKK,Financials
Ambu,AMBU-B.CO,DKK,Health Care
Bang & Olufsen,BO.CO,DKK,Consumer Services
Bavarian Nordic,BAVA.CO,DKK,Health Care
BioPorto,BIOPOR.CO,DKK,Health Care
Boozt,BOOZT-DKK.CO,DKK,Consumer Services
Carlsberg B,CARL-B.CO,DKK,Consumer Goods
CBRAIN,CBRAIN.CO,DKK,Technology
Cemat,CEMAT.CO,DKK,Technology
ChemoMetec,CHEMM.CO,DKK,Health Care
Coloplast B,COLO-B.CO,DKK,Health Care
Columbus,COLUM.CO,DKK,Technology
D/S Norden,DNORD.CO,DKK,Industrials
Demant,DEMANT.CO,DKK,Health Care
DFDS,DFDS.CO,DKK,Industrials
DSV,DSV.CO,DKK,Industrials
FirstFarms,FFARMS.CO,DKK,Consumer Goods
FLSmidth & Co.,FLS.CO,DKK,Industrials
Flügger group B,FLUG-B.CO,DKK,Industrials
Genmab,GMAB.CO,DKK,Health Care
GN Store Nord,GN.CO,DKK,Health Care
Green Hydrogen Systems,GREENH.CO,DKK,Energy
GreenMobility,GREENM.CO,DKK,Industrials
H. Lundbeck B,HLUN-B.CO,DKK,Health Care
HusCompagniet,HUSCO.CO,DKK,Consumer Services
ISS,ISS.CO,DKK,Industrials
Københavns Lufthavne,KBHL.CO,DKK,Industrials
Matas,MATAS.CO,DKK,Consumer Services
Netcompany Group,NETC.CO,DKK,Technology
NKT,NKT.CO,DKK,Industrials
NNIT,NNIT.CO,DKK,Technology
Noble Corporation,NOBLE.CO,DKK,Energy
Novo Nordisk B,NOVO-B.CO,DKK,Health Care
Novozymes B,NZYM-B.CO,DKK,Health Care
NTG Nordic Transport Group,NTG.CO,DKK,Industrials
Orphazyme,ORPHA.CO,DKK,Health Care
Pandora,PNDORA.CO,DKK,Consumer Services
Rockwool B,ROCK-B.CO,DKK,Industrials
Royal UNIBREW,RBREW.CO,DKK,Consumer Goods
Sanistål,SANI.CO,DKK,Consumer Services
Solar B,SOLAR-B.CO,DKK,Industrials
Topdanmark,TOP.CO,DKK,Financials
TORM A,TRMD-A.CO,DKK,Industrials
Tryg,TRYG.CO,DKK,Financials
Vestas Wind Systems,VWS.CO,DKK,Energy
Zealand Pharma,ZEAL.CO,DKK,Health Care
Össur,OSSR.CO,DKK,Health Care
Ørsted,ORSTED.CO,DKK,Utilities